epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.25,2.19795,4.17113,1.26257,0.27178,0.11384,0.05227,0.02728,2.19812,3.49099,1.12343,0.000193118,0.000193118,0.000193118
2,363.615,2.26178,3.10958,1.13521,0.61567,0.10489,0.0702,0.03819,2.13696,2.69911,1.11057,0.000385265,0.000385265,0.000385265
3,447.994,2.18422,2.61741,1.10051,0.64876,0.10638,0.10517,0.05892,2.05725,2.31239,1.0957,0.000573532,0.000573532,0.000573532
4,525.98,2.12025,2.32918,1.08417,0.58789,0.13707,0.11621,0.06523,1.99496,2.05322,1.07614,0.000570536,0.000570536,0.000570536
5,637.504,2.0619,2.16281,1.07899,0.37305,0.20557,0.14143,0.08174,1.92976,1.97804,1.06782,0.000564715,0.000564715,0.000564715
6,760.549,2.05696,2.07969,1.06677,0.43757,0.21011,0.14563,0.08276,1.92693,1.79394,1.06303,0.000558894,0.000558894,0.000558894
7,865.096,1.96649,1.94881,1.05602,0.47488,0.24557,0.17232,0.10393,1.89881,1.87301,1.05317,0.000553073,0.000553073,0.000553073
8,973.389,1.97576,1.88916,1.04509,0.3942,0.26202,0.21778,0.14106,1.93654,1.74299,1.0443,0.000547252,0.000547252,0.000547252
9,1273.82,1.96173,1.82324,1.04468,0.55884,0.27028,0.23504,0.15201,1.84165,1.64507,1.02349,0.00054143,0.00054143,0.00054143
10,1473.02,1.9066,1.78488,1.03196,0.57085,0.27509,0.24605,0.15235,1.88011,1.66873,1.02861,0.000535609,0.000535609,0.000535609
11,1599.45,1.89422,1.74658,1.03377,0.59,0.27466,0.25983,0.16411,1.8191,1.62859,1.02432,0.000529788,0.000529788,0.000529788
12,1675.87,1.88469,1.72667,1.02891,0.62845,0.31092,0.30756,0.20257,1.78366,1.54719,1.02075,0.000523967,0.000523967,0.000523967
13,1854.89,1.85708,1.68542,1.02934,0.64139,0.28162,0.31508,0.21127,1.80473,1.52809,1.01767,0.000518146,0.000518146,0.000518146
14,2051.39,1.8162,1.63435,1.01948,0.38415,0.34402,0.30947,0.19663,1.75863,1.48285,1.01544,0.000512324,0.000512324,0.000512324
15,2154.82,1.82914,1.62949,1.02074,0.63598,0.3212,0.35194,0.22852,1.73784,1.47013,1.0098,0.000506503,0.000506503,0.000506503
16,2240.28,1.82426,1.60642,1.02347,0.63555,0.36792,0.35856,0.24036,1.71344,1.44013,1.00665,0.000500682,0.000500682,0.000500682
17,2405.53,1.77807,1.56654,1.00534,0.68371,0.34958,0.37558,0.2572,1.71247,1.43058,1.00062,0.000494861,0.000494861,0.000494861
18,2572.36,1.7803,1.52136,0.9986,0.50797,0.35757,0.37908,0.2497,1.78578,1.45266,1.00974,0.00048904,0.00048904,0.00048904
19,2712.59,1.78845,1.50405,1.00001,0.50032,0.39501,0.40371,0.27277,1.69874,1.358,1.00068,0.000483218,0.000483218,0.000483218
20,2787.68,1.77491,1.50545,0.99486,0.64227,0.37312,0.40314,0.2707,1.70675,1.38639,0.9931,0.000477397,0.000477397,0.000477397
21,2961.36,1.70826,1.45108,0.98924,0.58531,0.3958,0.42125,0.29107,1.67059,1.35382,0.98881,0.000471576,0.000471576,0.000471576
22,3073.36,1.76025,1.44438,0.99297,0.50399,0.41669,0.44492,0.30089,1.67352,1.33273,0.99215,0.000465755,0.000465755,0.000465755
23,3147.53,1.72034,1.43596,0.99664,0.62139,0.38472,0.41458,0.27708,1.65576,1.36046,0.99062,0.000459934,0.000459934,0.000459934
24,3218.29,1.75286,1.4381,0.99131,0.4703,0.48169,0.46758,0.31244,1.65916,1.30066,0.9866,0.000454112,0.000454112,0.000454112
25,3779.03,1.71221,1.39569,0.98077,0.59109,0.44169,0.45477,0.30252,1.69024,1.30037,0.98694,0.000448291,0.000448291,0.000448291
26,3862.54,1.70646,1.38449,0.98482,0.52105,0.48325,0.49883,0.33942,1.6722,1.29173,0.98522,0.00044247,0.00044247,0.00044247
27,3979.68,1.70091,1.3713,0.98614,0.51523,0.46749,0.48638,0.33442,1.6423,1.26912,0.98302,0.000436649,0.000436649,0.000436649
28,4072.82,1.68936,1.35843,0.98597,0.60901,0.47196,0.50544,0.34455,1.64372,1.23849,0.98161,0.000430828,0.000430828,0.000430828
29,4633.41,1.68563,1.35715,0.97708,0.70713,0.44212,0.50369,0.34025,1.63683,1.27,0.98346,0.000425006,0.000425006,0.000425006
30,4732.8,1.70184,1.34156,0.98247,0.63093,0.49116,0.51631,0.34894,1.64895,1.25881,0.98342,0.000419185,0.000419185,0.000419185
31,5205.18,1.66654,1.33367,0.97368,0.55571,0.51884,0.53761,0.36427,1.6352,1.23406,0.98129,0.000413364,0.000413364,0.000413364
32,5361.76,1.67725,1.32477,0.97938,0.56666,0.52231,0.53551,0.36572,1.62983,1.22695,0.97662,0.000407543,0.000407543,0.000407543
33,5571.73,1.64968,1.30524,0.9738,0.59884,0.51458,0.54729,0.37788,1.63873,1.21127,0.97577,0.000401722,0.000401722,0.000401722
34,5651.41,1.67649,1.30405,0.97882,0.57946,0.51343,0.53908,0.36661,1.60213,1.25974,0.97157,0.0003959,0.0003959,0.0003959
35,5760.23,1.68137,1.28954,0.96465,0.59849,0.52324,0.54384,0.37508,1.60855,1.19032,0.97334,0.000390079,0.000390079,0.000390079
36,5887.12,1.65192,1.26132,0.96675,0.58474,0.54121,0.54705,0.37846,1.6127,1.18435,0.96865,0.000384258,0.000384258,0.000384258
37,6021.74,1.64183,1.25612,0.96449,0.60968,0.53513,0.55312,0.3793,1.61318,1.15937,0.97134,0.000378437,0.000378437,0.000378437
38,6136.99,1.65874,1.25641,0.96624,0.55609,0.51423,0.5328,0.36788,1.60317,1.21948,0.97127,0.000372616,0.000372616,0.000372616
39,6232.15,1.62516,1.25188,0.95999,0.66645,0.53617,0.57556,0.40786,1.57669,1.15729,0.96417,0.000366794,0.000366794,0.000366794
40,6354.64,1.64039,1.25412,0.96339,0.59774,0.56323,0.5746,0.40422,1.57154,1.15386,0.96344,0.000360973,0.000360973,0.000360973
41,6442.85,1.63311,1.22409,0.95984,0.62275,0.55571,0.57844,0.40398,1.57018,1.14416,0.96086,0.000355152,0.000355152,0.000355152
42,6554.17,1.61336,1.21182,0.95657,0.60496,0.56056,0.59234,0.40669,1.58607,1.15063,0.9644,0.000349331,0.000349331,0.000349331
43,6629.24,1.64508,1.23964,0.96281,0.62672,0.53628,0.58324,0.39481,1.66764,1.17655,0.97925,0.00034351,0.00034351,0.00034351
44,6708.4,1.62373,1.20206,0.95937,0.666,0.55002,0.59578,0.41804,1.56065,1.11182,0.95915,0.000337688,0.000337688,0.000337688
45,6799.88,1.61942,1.20865,0.9611,0.64174,0.55559,0.58915,0.41005,1.55771,1.15101,0.96201,0.000331867,0.000331867,0.000331867
46,7194.27,1.61106,1.194,0.95453,0.64622,0.5647,0.59916,0.40163,1.57682,1.13076,0.96271,0.000326046,0.000326046,0.000326046
47,7277.61,1.60896,1.18049,0.9546,0.70175,0.55182,0.60029,0.41998,1.55479,1.10182,0.95607,0.000320225,0.000320225,0.000320225
48,7503.18,1.58099,1.16694,0.95397,0.70552,0.55653,0.60929,0.42513,1.56563,1.09834,0.9577,0.000314404,0.000314404,0.000314404
49,7575.44,1.63897,1.1776,0.95589,0.66122,0.53899,0.59407,0.41365,1.58961,1.10854,0.96717,0.000308582,0.000308582,0.000308582
50,7721.05,1.59766,1.1706,0.95366,0.66965,0.57366,0.61169,0.42594,1.56487,1.12731,0.96037,0.000302761,0.000302761,0.000302761
51,7859.09,1.57877,1.13952,0.94791,0.68261,0.5833,0.60951,0.43479,1.5542,1.07745,0.95574,0.00029694,0.00029694,0.00029694
52,7938.27,1.57638,1.14953,0.94585,0.69586,0.5572,0.62126,0.43244,1.57669,1.08849,0.95984,0.000291119,0.000291119,0.000291119
53,8101.39,1.58706,1.15587,0.94861,0.68201,0.59088,0.62842,0.44412,1.5313,1.06849,0.95242,0.000285298,0.000285298,0.000285298
54,8216.44,1.60585,1.1597,0.95191,0.71409,0.55265,0.62354,0.43237,1.54175,1.08344,0.95548,0.000279476,0.000279476,0.000279476
55,8339.44,1.56851,1.14105,0.94599,0.72055,0.57892,0.63445,0.44789,1.53311,1.07093,0.95144,0.000273655,0.000273655,0.000273655
56,8409.45,1.59191,1.13527,0.94662,0.67976,0.5804,0.63402,0.44845,1.5353,1.06071,0.95326,0.000267834,0.000267834,0.000267834
57,8475.74,1.59173,1.13053,0.94997,0.70631,0.59432,0.64739,0.45903,1.51342,1.04121,0.95079,0.000262013,0.000262013,0.000262013
58,8593.94,1.57059,1.11454,0.94101,0.71948,0.59053,0.64764,0.45932,1.51616,1.04601,0.95008,0.000256192,0.000256192,0.000256192
59,8849.55,1.56084,1.11862,0.93893,0.73226,0.57313,0.648,0.45797,1.52217,1.048,0.94944,0.00025037,0.00025037,0.00025037
60,8928.11,1.55397,1.10757,0.93783,0.70432,0.58858,0.64102,0.45875,1.50646,1.04719,0.94872,0.000244549,0.000244549,0.000244549
61,9211.54,1.57965,1.11451,0.94438,0.72205,0.58223,0.63917,0.45245,1.52189,1.06211,0.94718,0.000238728,0.000238728,0.000238728
62,9309.53,1.56654,1.10701,0.94309,0.7042,0.59968,0.64385,0.45117,1.54307,1.04906,0.95278,0.000232907,0.000232907,0.000232907
63,9427.48,1.55411,1.09322,0.94041,0.70221,0.62531,0.6555,0.46589,1.51752,1.02083,0.94758,0.000227086,0.000227086,0.000227086
64,9705.8,1.52678,1.08681,0.93722,0.71461,0.59755,0.64855,0.45649,1.52564,1.05187,0.94816,0.000221264,0.000221264,0.000221264
65,9811.02,1.53122,1.08546,0.93737,0.71881,0.60026,0.65029,0.4588,1.5217,1.02145,0.95074,0.000215443,0.000215443,0.000215443
66,9931.73,1.53888,1.08461,0.93821,0.74997,0.58098,0.65874,0.46739,1.52656,1.02947,0.94804,0.000209622,0.000209622,0.000209622
67,10065.6,1.54044,1.07942,0.94243,0.76482,0.58921,0.66292,0.48069,1.48598,1.01969,0.94205,0.000203801,0.000203801,0.000203801
68,10188.4,1.55114,1.07067,0.93653,0.69704,0.61392,0.65714,0.46192,1.51085,1.03986,0.9472,0.00019798,0.00019798,0.00019798
69,10335.2,1.52109,1.06475,0.93489,0.7254,0.6155,0.66605,0.47599,1.50894,1.0274,0.94442,0.000192158,0.000192158,0.000192158
70,10407.9,1.49499,1.05578,0.93274,0.74501,0.61975,0.67004,0.47353,1.49931,1.00177,0.94308,0.000186337,0.000186337,0.000186337
71,10523.8,1.5426,1.06472,0.93632,0.75831,0.60169,0.66754,0.4724,1.50551,1.02931,0.9445,0.000180516,0.000180516,0.000180516
72,10613.7,1.53646,1.06172,0.93523,0.76942,0.60354,0.6773,0.47571,1.50696,1.00131,0.9458,0.000174695,0.000174695,0.000174695
73,10711.8,1.51958,1.05971,0.93367,0.75743,0.60909,0.67171,0.47541,1.50815,1.0137,0.94517,0.000168874,0.000168874,0.000168874
74,10942.9,1.53484,1.06444,0.9359,0.72589,0.63404,0.68042,0.47888,1.49824,0.99344,0.94326,0.000163052,0.000163052,0.000163052
75,11081.5,1.51086,1.03774,0.93326,0.75375,0.63597,0.69004,0.49743,1.47567,0.96883,0.93946,0.000157231,0.000157231,0.000157231
76,11154.8,1.51341,1.04395,0.93015,0.7576,0.62031,0.68355,0.48907,1.48282,0.98308,0.93974,0.00015141,0.00015141,0.00015141
77,11224,1.51199,1.04449,0.9232,0.73237,0.61755,0.67992,0.48406,1.4888,0.98794,0.93972,0.000145589,0.000145589,0.000145589
78,11290.8,1.505,1.0355,0.92747,0.76601,0.62585,0.6877,0.48775,1.48524,0.97197,0.93913,0.000139768,0.000139768,0.000139768
79,11512.3,1.50995,1.02485,0.92891,0.77058,0.61529,0.68294,0.48222,1.49215,0.98246,0.94221,0.000133946,0.000133946,0.000133946
80,11641.7,1.4863,1.02676,0.92555,0.74166,0.63146,0.68507,0.49221,1.47925,0.97449,0.93722,0.000128125,0.000128125,0.000128125
81,11765.8,1.49952,1.02326,0.92918,0.76779,0.62152,0.68697,0.48719,1.47471,0.97815,0.93891,0.000122304,0.000122304,0.000122304
82,11862.2,1.47615,1.01126,0.92051,0.7747,0.63634,0.69504,0.49513,1.49488,0.97176,0.93777,0.000116483,0.000116483,0.000116483
83,11960.6,1.4919,1.02105,0.92893,0.82182,0.61971,0.69719,0.50544,1.45745,0.95636,0.93512,0.000110662,0.000110662,0.000110662
84,12461.2,1.49694,1.01951,0.92536,0.79154,0.63116,0.69656,0.50138,1.46567,0.95843,0.93468,0.00010484,0.00010484,0.00010484
85,12564.7,1.50431,1.02872,0.92916,0.77563,0.62892,0.69185,0.49563,1.47602,0.96727,0.93583,9.90192e-05,9.90192e-05,9.90192e-05
86,12700.1,1.47268,1.00574,0.9256,0.79405,0.62516,0.70279,0.50709,1.47232,0.95582,0.93589,9.3198e-05,9.3198e-05,9.3198e-05
87,12784.3,1.44728,0.98655,0.92332,0.78526,0.63013,0.69553,0.50461,1.45211,0.95026,0.93203,8.73768e-05,8.73768e-05,8.73768e-05
